domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.stern.de,-0.14053934719427677,0.2449370830563444,0.0848144422088084,0.1607826057543299,71.0
www.zeit.de,-0.0348711943793911,0.2128202460998061,0.08553864168618266,0.13592851305261217,61.0
www.faz.net,0.03105489417989418,0.22235410432546654,0.08386243386243386,0.11148039540130335,36.0
www.tagesspiegel.de,-0.0031269841269841317,0.24182867431878835,0.03738095238095238,0.0957154498372949,30.0
www.bild.de,0.09200292397660818,0.2126776385523897,0.05482456140350876,0.09826095066175203,19.0
www.n-tv.de,0.001316137566137564,0.21928274310185153,0.10291005291005291,0.1388815524272832,18.0
www.diepresse.com,-0.012738095238095243,0.22229351357864297,0.09852941176470588,0.1494270101840662,17.0
www.welt.de,-0.0248992673992674,0.22097741548657254,0.08043345543345544,0.10085161966426881,13.0
www.nzz.ch,-0.036309523809523805,0.27781788259241524,0.12179487179487179,0.20016019225635892,13.0
www.tagesschau.de,0.01313492063492064,0.22334828205108131,0.008333333333333333,0.028867513459481294,12.0
www.sueddeutsche.de,0.006558441558441552,0.2663668672671895,0.06753246753246754,0.1304765064615253,11.0
www.morgenpost.de,-0.007708333333333328,0.33777430839318406,0.07916666666666666,0.21013113189766192,10.0
www.freitag.de,0.027864583333333328,0.15585043156452666,0.12708333333333333,0.1383541292458056,8.0
www.spektrum.de,0.09354166666666666,0.13312553276849157,0.05625,0.10500850305706541,8.0
taz.de,-0.14325396825396824,0.14292161243698343,0.18055555555555555,0.09419902754340648,7.0
t3n.de,0.2319047619047619,0.200671162212998,0.037619047619047614,0.07004533679231763,7.0
www.dw.com,0.06272108843537415,0.1778917677959345,0.09387755102040816,0.12407524250562264,7.0
orf.at,0.13416666666666666,0.15717559182858726,0.08333333333333333,0.2041241452319315,6.0
science.orf.at,0.075,0.1432751820022497,0.17361111111111108,0.10005785363515486,6.0
tirol.orf.at,-0.07833333333333334,0.13259561539591808,0.1,0.16298006013006622,5.0
www.telepolis.de,0.0,0.0,0.09166666666666667,0.10671873729054747,4.0
www.urlaubspiraten.de,0.2716666666666666,0.0550084168643847,0.06666666666666667,0.08164965809277261,4.0
hallespektrum.de,0.0875,0.175,0.0,0.0,4.0
www.jungewelt.de,-0.125,0.044440972086577935,0.03333333333333333,0.05773502691896258,3.0
www.gamestar.de,0.020833333333333332,0.16504418600281967,0.2125,0.09437293044088438,3.0
www.focus.de,-0.01944444444444444,0.03367876570272817,0.0,0.0,3.0
burgenland.orf.at,-0.018750000000000003,0.026516504294495535,0.0,0.0,2.0
wien.orf.at,-0.05833333333333333,0.08249579113843054,0.125,0.1767766952966369,2.0
www.golem.de,-0.09285714285714286,0.0,0.1285714285714286,0.18182745801939795,2.0
www.ibiza-heute.de,0.07166666666666667,0.2993418707023051,0.08333333333333333,0.11785113019775792,2.0
www.businessinsider.de,-0.27999999999999997,0.0,0.0,0.0,2.0
www.perlentaucher.de,0.0875,0.12374368670764581,0.0,0.0,2.0
vorarlberg.orf.at,-0.015000000000000003,0.02121320343559643,0.1,0.14142135623730953,2.0
www.whudat.de,0.0,1.0,0.0,1.0,1.0
ooe.orf.at,0.0,1.0,0.0,1.0,1.0
www.waz.de,0.0,1.0,0.0,1.0,1.0
salzburg.orf.at,0.0,1.0,0.0,1.0,1.0
stadt-bremerhaven.de,0.0,1.0,0.0,1.0,1.0
steiermark.orf.at,0.0,1.0,0.0,1.0,1.0
versicherungswirtschaft-heute.de,0.0,1.0,0.0,1.0,1.0
fm4.orf.at,0.0,1.0,0.0,1.0,1.0
www.abendblatt.de,0.0,1.0,0.0,1.0,1.0
www.computerbase.de,0.0,1.0,0.0,1.0,1.0
www.autobild.de,0.0,1.0,0.0,1.0,1.0
www.basicthinking.de,0.0,1.0,0.0,1.0,1.0
www.brigitte.de,0.0,1.0,0.0,1.0,1.0
www.mobiflip.de,0.0,1.0,0.0,1.0,1.0
www.macerkopf.de,0.0,1.0,0.0,1.0,1.0
www.googlewatchblog.de,0.0,1.0,0.0,1.0,1.0
www.rtl.de,0.0,1.0,0.0,1.0,1.0
