,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Deutschland,Deutschland,LOC,-0.05009372,0.12195796,de,542.40000000,4011882-4,2921044,A,51.50000000,10.50000000,EUROPE,Germany,WCE
Europa,Europa,LOC,-0.01310082,0.18479958,de,192.10000000,4015701-5,6255148,L,48.69096000,9.14062000,EUROPE,Germany,WCE
Berlin,Berlin,LOC,0.00609693,0.14000347,de,191.90000000,4005728-8,2950159,P,52.52437000,13.41053000,EUROPE,Germany,WCE
Frankreich,Frankreich,LOC,-0.14262187,0.06807202,de,151.80000000,4018145-5,3017382,A,46.00000000,2.00000000,EUROPE,France,WCE
Brandenburg,Brandenburg,LOC,0.14978224,0.13433836,de,99.50000000,4007955-7,2945356,A,52.45905000,13.01582000,EUROPE,Germany,WCE
Hitze,Hitze,LOC,-0.03933865,0.15963512,de,87.70000000,,2903464,S,50.36667000,12.00000000,EUROPE,Germany,WCE
Spanien,Spanien,LOC,-0.09817073,0.10365854,de,82.00000000,4055964-6,2510769,A,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
Bayern,Bayern,LOC,-0.07887875,0.07170795,de,76.70000000,4005044-0,2951839,A,49.00000000,11.50000000,EUROPE,Germany,WCE
…,…,LOC,0.00398338,0.05058651,de,68.20000000,,0,,,,,,
Deutschlands,Deutschlands,LOC,0.07258065,0.17350929,de,68.20000000,,0,,,,,,
Österreich,Österreich,LOC,0.04036652,0.08172363,de,67.30000000,4043271-3,2782113,A,47.33333000,13.33333000,EUROPE,Austria,WCE
Europas,Europas,LOC,0.05908850,0.14043455,de,62.90000000,,0,,,,,,
Hessen,Hessen,LOC,0.07741935,0.15994624,de,62.00000000,4024729-6,2905330,A,50.55000000,9.00000000,EUROPE,Germany,WCE
Stadt,Stadt,LOC,-0.05266015,0.08143322,de,61.40000000,,2661604,P,47.55839000,7.57327000,EUROPE,Switzerland,WCE
Temperaturen,Temperaturen,LOC,-0.00173310,0.10398614,de,57.70000000,,0,,,,,,
Rheinland-Pfalz,Rheinland-Pfalz,LOC,0.14173913,0.07246377,de,57.50000000,4049795-1,2847618,A,49.66667000,7.50000000,EUROPE,Germany,WCE
Baden-Württemberg,Baden-Württemberg,LOC,-0.16179159,0.13711152,de,54.70000000,,0,,,,,,
Großbritannien,Großbritannien,LOC,0.05805243,0.02808989,de,53.40000000,4022153-2,2635167,A,54.75844000,-2.69531000,EUROPE,United Kingdom,NEU
Sachsen,Sachsen,LOC,0.12773488,0.04826255,de,51.80000000,4051181-9,2842565,A,52.00000000,11.73330000,EUROPE,Germany,WCE
Sachsen-Anhalt,Sachsen-Anhalt,LOC,0.00000000,0.11286682,de,44.30000000,4036934-1,2874545,P,52.12773000,11.62916000,EUROPE,Germany,WCE
Hitzewelle,Hitzewelle,LOC,0.00000000,0.18867925,de,42.40000000,,0,,,,,,
