,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
"Link
","Link
",MISC,,,de,25,,,,,,
“,“,MISC,,,de,13,,,,,,
Schweizer,Schweizer,MISC,,,de,8,,,,,,
Fußball-WM,Fußball-WM,MISC,,,de,7,,,,,,
Wasser-Streit,Wasser-Streit,MISC,,,de,6,,,,,,
brasilianischen,brasilianischen,MISC,,,de,5,,,,,,
TTS Player,TTS Player,MISC,,,de,4,,,,,,
WM 2022,WM 2022,MISC,,,de,4,,,,,,
AfD sage,AfD sage,MISC,,,de,4,,,,,,
R…,R…,MISC,,,de,3,,,,,,
Schrank einzu…,Schrank einzu…,MISC,,,de,3,,,,,,
GeForce GTX 580,GeForce GTX 580,MISC,,,de,3,,,,,,
Gletsc…,Gletsc…,MISC,,,de,3,,,,,,
Heiße Winterflucht-Deals,Heiße Winterflucht-Deals,MISC,,,de,3,,,,,,
Google,Google,MISC,,,de,3,,,,,,
Wassers,Wassers,MISC,,,de,3,,,,,,
griechische,griechische,MISC,,,de,3,,,,,,
Gaming-Handhelds,Gaming-Handhelds,MISC,,,de,2,,,,,,
Spitzenpreis,Spitzenpreis,MISC,,,de,2,,,,,,
deutsche,deutsche,MISC,,,de,2,,,,,,
Der Politologe Wolfgang Schroeder,Der Politologe Wolfgang Schroeder,MISC,,,de,2,,,,,,
Amazon,Amazon,MISC,,,de,2,,,,,,
Shark SpeedStyle,Shark SpeedStyle,MISC,,,de,2,,,,,,
österreichischen,österreichischen,MISC,,,de,2,,,,,,
UNO-Umweltprogramms,UNO-Umweltprogramms,MISC,,,de,2,,,,,,
Xiaomi,Xiaomi,MISC,,,de,2,,,,,,
ASUS,ASUS,MISC,,,de,2,,,,,,
UNO-Aktionsplan,UNO-Aktionsplan,MISC,,,de,2,,,,,,
japanische,japanische,MISC,,,de,2,,,,,,
DfB-Elf,DfB-Elf,MISC,,,de,2,,,,,,
französische Kronjuwelen,französische Kronjuwelen,MISC,,,de,2,,,,,,
Berlins Koalition,Berlins Koalition,MISC,,,de,2,,,,,,
Apple iPad Pro,Apple iPad Pro,MISC,,,de,2,,,,,,
COP30,COP30,MISC,,,de,2,,,,,,
spanische,spanische,MISC,,,de,2,,,,,,
CO2-Emissionen,CO2-Emissionen,MISC,,,de,2,,,,,,
Münchner,Münchner,MISC,,,de,2,,,,,,
brandenb…,brandenb…,MISC,,,de,2,,,,,,
Corona-Zeit,Corona-Zeit,MISC,,,de,2,,,,,,
GeForce GTX,GeForce GTX,MISC,,,de,2,,,,,,
