,Causes,Impacts,Hazard,Mitigation,Adaptation,Invalid
2025-09-25,0.0,0.0,1.0,0.0,0.0,0.0
2025-09-27,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-29,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-30,0.0,0.0,1.0,0.0,0.0,0.0
2025-10-01,0.0,0.0,4.2,0.0,0.0,0.0
2025-10-02,0.0,2.0,0.0,0.0,0.0,0.0
2025-10-03,0.0,1.0,1.0,0.0,0.0,0.0
2025-10-04,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-07,0.0,0.0,1.0,0.0,0.0,0.0
2025-10-08,0.0,1.0,0.0,0.0,0.0,0.0
2025-10-09,0.0,0.0,0.0,0.0,0.0,1.6
2025-10-10,0.0,0.0,0.0,0.0,0.0,0.9
2025-10-11,0.0,0.0,0.0,0.8,0.0,2.9
2025-10-12,0.0,0.0,0.0,0.0,0.0,2.6
2025-10-13,0.0,0.0,0.0,0.0,0.0,5.8999999999999995
2025-10-14,0.0,0.0,1.0,0.0,0.0,4.0
2025-10-15,0.0,0.0,0.0,0.0,0.0,3.0
2025-10-16,0.0,1.0,0.0,0.6,0.0,1.0
2025-10-17,0.0,0.0,0.0,0.0,0.0,2.0
2025-10-18,1.4,0.0,0.0,0.0,0.0,0.0
2025-10-19,0.0,0.0,0.0,0.0,0.0,1.9
2025-10-20,0.0,0.0,0.0,0.0,0.0,1.7
2025-10-21,0.0,0.0,0.0,0.6,0.0,1.6
2025-10-22,0.0,0.0,0.0,0.0,0.6,4.1
2025-10-23,0.0,0.0,0.0,0.0,0.0,2.0
2025-10-24,0.0,0.0,0.0,0.0,0.0,4.8
2025-10-26,0.0,0.0,0.0,0.0,0.0,1.0
2025-10-27,0.0,0.0,0.0,0.0,0.0,2.4000000000000004
2025-10-28,0.0,0.0,0.0,0.0,0.0,3.0
2025-10-29,1.0,0.0,0.0,0.0,0.6,1.9
2025-10-30,0.6,0.0,0.0,0.0,0.0,3.5
2025-10-31,0.0,0.0,0.0,0.6,0.0,1.0
2025-11-01,0.0,0.8,0.0,0.0,0.0,1.0
2025-11-02,0.0,0.0,0.0,0.0,0.0,1.0
2025-11-03,0.0,0.0,0.0,0.0,0.0,2.2
2025-11-04,0.9,0.0,1.0,0.8,0.0,0.7
2025-11-05,1.6,0.0,0.0,0.0,0.0,9.6
2025-11-06,1.8,0.0,0.0,0.0,0.0,1.6
2025-11-07,1.5,0.0,1.0,1.7000000000000002,0.0,1.9
2025-11-08,0.0,0.0,0.0,0.0,0.0,4.2
2025-11-09,4.0,0.9,0.0,0.6,0.0,8.600000000000001
2025-11-10,3.3,0.9,0.0,0.0,0.0,3.8
2025-11-11,0.8,0.0,1.0,0.0,0.0,4.8
2025-11-12,0.8,3.0,0.0,0.6,0.8,0.9
2025-11-13,0.9,0.0,0.6,0.7,0.0,4.3
2025-11-14,0.0,0.0,0.0,3.3000000000000003,0.0,2.0
2025-11-15,0.0,0.0,0.9,0.0,0.0,0.0
2025-11-16,0.0,0.9,0.0,0.0,0.0,0.0
2025-11-17,0.0,0.0,0.0,0.7,1.7000000000000002,1.0
2025-11-18,0.7,0.0,0.0,0.9,0.8,0.0
2025-11-19,0.0,0.0,0.0,0.9,0.0,0.6
2025-11-20,0.0,0.0,0.0,0.9,1.8,0.0
2025-11-21,0.7,0.9,0.0,0.9,0.0,1.0
2025-11-22,1.7000000000000002,0.0,0.0,0.0,0.0,0.9
2025-11-23,0.8,0.0,0.0,0.0,0.0,0.8
2025-11-25,0.0,0.8,2.7,0.0,0.0,0.9
2025-11-26,1.8,0.0,0.0,0.8,0.0,0.0
2025-11-27,0.6,0.0,0.0,1.6,0.9,0.8
2025-11-28,0.0,0.0,0.0,0.0,0.0,0.8
2025-11-29,0.0,0.9,0.0,0.9,0.0,0.0
2025-11-30,0.0,0.9,0.0,1.8,0.0,0.7
2025-12-01,0.0,0.0,0.0,0.0,0.0,1.0
2025-12-02,0.0,0.0,0.0,0.9,0.9,1.8
2025-12-03,0.0,0.0,0.9,0.0,0.0,0.0
2025-12-04,0.0,0.0,0.0,0.9,0.0,0.7
2025-12-05,0.0,0.0,0.0,0.0,0.0,3.0
2025-12-07,0.0,0.8,0.0,0.0,0.0,0.0
2025-12-08,0.9,0.0,0.0,0.0,0.0,0.0
2025-12-09,0.9,0.0,1.7000000000000002,0.0,0.0,0.0
2025-12-10,0.0,0.8,0.0,0.9,3.5,0.0
2025-12-12,0.0,0.0,0.9,0.0,0.0,0.0
2025-12-14,0.9,0.0,0.0,0.0,0.0,0.0
2025-12-15,0.9,0.9,0.0,0.9,0.0,0.0
2025-12-16,0.0,0.0,0.0,1.8,0.0,0.0
2025-12-17,1.8,1.7000000000000002,0.0,0.9,0.0,0.0
2025-12-18,0.0,0.0,0.9,0.0,0.0,0.0
2025-12-19,0.0,0.0,0.9,2.7,0.0,0.0
2025-12-22,0.0,0.0,0.9,0.0,0.0,0.0
2025-12-23,0.0,0.0,0.0,0.0,0.9,0.0
2025-12-25,0.0,1.8,0.0,0.0,0.9,0.0
2025-12-27,0.9,0.0,1.6,0.0,0.0,0.0
2025-12-28,0.9,0.0,0.0,0.0,0.0,0.0
2025-12-29,1.8,0.0,0.0,0.9,0.0,0.0
2025-12-30,0.9,2.5,0.0,0.0,0.0,0.0
2025-12-31,0.9,0.0,0.0,0.0,0.0,0.0
2026-01-01,0.0,0.0,0.0,1.8,0.0,0.0
2026-01-02,0.9,0.0,0.0,0.0,0.0,0.0
2026-01-03,1.8,0.0,0.0,0.0,0.0,0.0
2026-01-04,0.0,0.9,0.0,0.0,0.0,0.0
2026-01-05,2.7,0.0,0.9,0.0,0.0,0.0
2026-01-06,0.0,0.9,0.0,0.0,0.0,0.0
2026-01-07,3.6,0.0,0.0,0.9,0.0,0.0
2026-01-08,0.0,0.9,0.0,0.0,0.0,0.0
2026-01-10,0.0,1.6,0.0,0.0,0.0,0.0
2026-01-11,0.0,0.9,0.0,0.9,0.0,0.0
2026-01-12,0.9,2.7,0.0,0.0,0.0,0.0
2026-01-13,0.9,0.9,0.0,1.7000000000000002,0.0,0.0
2026-01-14,1.8,0.9,0.0,0.0,0.0,0.0
2026-01-15,0.0,0.9,0.0,0.0,0.0,0.0
2026-01-16,0.0,0.9,0.0,0.0,0.0,0.0
2026-01-18,3.6,1.8,0.0,0.0,0.0,0.7
2026-01-19,0.0,3.6,0.9,0.0,0.0,0.0
2026-01-20,0.9,1.8,1.8,0.0,0.0,0.0
2026-01-21,2.7,1.8,0.9,0.9,0.0,0.0
2026-01-22,0.9,2.7,0.0,0.0,0.9,0.0
2026-01-23,1.7000000000000002,0.9,0.0,0.0,0.8,0.0
2026-01-24,0.0,0.8,0.0,0.0,0.8,0.0
2026-01-25,0.0,0.0,0.0,0.9,0.0,0.0
2026-01-26,1.7000000000000002,1.6,0.0,0.0,0.0,0.7
