keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Temperaturrekord',de,Hazard,#E74C3C,#ff3300,3,0.3943067606842014
'Waldbrände',de,Impacts,#9B59B6,#cc99ff,3,0.3640251723017597
'Trockenheit',de,Causes,#F39C12,#b4b02b,3,0.3569693106529558
'Hitzebelastung',de,Impacts,#9B59B6,#cc99ff,3,0.353035944008877
'Hitzebelastung',de,Impacts,#9B59B6,#cc99ff,3,0.353035944008877
'Hitzewelle',de,Hazard,#E74C3C,#ff3300,3,0.3509339213310899
'Temperaturanstieg',de,Hazard,#E74C3C,#ff3300,3,0.3028319585123699
'heiße Temperaturen',de,Hazard,#E74C3C,#ff3300,3,0.2905434347827087
'Tropennächte',de,Hazard,#E74C3C,#ff3300,3,0.2793447046659022
'Klimawandel',de,Causes,#F39C12,#b4b02b,3,0.2686493430457122
'Hitzewarnung',de,Hazard,#E74C3C,#ff3300,3,0.2637846102874259
'Saharastaub',de,Hazard,#E74C3C,#ff3300,2,0.2514888851995669
'Hitzestress',de,Impacts,#9B59B6,#cc99ff,3,0.2294078979308925
'Hitzerekord',de,Hazard,#E74C3C,#ff3300,2,0.2265113800633658
'Erschöpfung Hitze',de,Impacts,#9B59B6,#cc99ff,3,0.2173075944656209
'Klimaschutz',de,Mitigation,#2980B9,#00cc66,3,0.2169637026755255
'Hitzeschutzplan',de,Adaptation,#27AE60,#fa2311,3,0.2167031852763636
'Klimawandelanpassung',de,Adaptation,#27AE60,#fa2311,1,0.2107147103791671
'Treibhausgase',de,Causes,#F39C12,#b4b02b,3,0.2074651204675257
'Temperatur Sonnenschutz',de,Mitigation,#2980B9,#00cc66,2,0.188376372835812
'Klimaanpassung',de,Adaptation,#27AE60,#fa2311,2,0.1874869137054287
'Hitzschlag',de,Impacts,#9B59B6,#cc99ff,2,0.1863301676678581
'globale Erwärmung',de,Causes,#F39C12,#b4b02b,2,0.1851286528435304
'Dachbegrünung',de,Adaptation,#27AE60,#fa2311,1,0.1748082037705581
'Sommernächte',de,Hazard,#E74C3C,#ff3300,2,0.1719504684175806
'Trinkwasserspender',de,Adaptation,#27AE60,#fa2311,2,0.1699060886866281
'Klimaanlage',de,Adaptation,#27AE60,#fa2311,3,0.1698410326106155
'Gebäudekühlung',de,Adaptation,#27AE60,#fa2311,1,0.1693687664056095
'Heiße Tage',de,Hazard,#E74C3C,#ff3300,3,0.1693539759879674
'Hitzetage',de,Hazard,#E74C3C,#ff3300,2,0.1689586455636142
'Hitzefrei',de,Adaptation,#27AE60,#fa2311,1,0.1674264097335783
'Warmluft',de,Hazard,#E74C3C,#ff3300,1,0.1669709542772632
'Warmluft',de,Hazard,#E74C3C,#ff3300,1,0.1669709542772632
'Hochdruckgebiet',de,Causes,#F39C12,#b4b02b,2,0.15595124850125425
'Schattenplätze',de,Adaptation,#27AE60,#fa2311,3,0.1556449480906734
'Hitzetote',de,Impacts,#9B59B6,#dd99ee,1,0.1494626082753782
'Sommertage',de,Hazard,#E74C3C,#ff3300,3,0.1492692177997311
'Sonnensegel',de,Adaptation,#27AE60,#fa2311,2,0.1469107319227424
'Temperatur Schatten',de,Mitigation,#2980B9,#00cc66,1,0.1466110417436702
'blaue Infrastruktur',de,Adaptation,#27AE60,#fa2311,1,0.1462288945431365
'Blutregen',de,Hazard,#E74C3C,#ff3300,1,0.1449337803886008
'Klimawandelanpassung',de,Mitigation,#2980B9,#00cc66,1,0.1415608528367949
'extreme Temperaturen',de,Hazard,#E74C3C,#ff3300,3,0.1409184902541098
'Sonnenbrand',de,Impacts,#9B59B6,#cc99ff,2,0.1381360084025753
'Wasserknappheit',de,Impacts,#9B59B6,#cc99ff,1,0.1374695010722472
'Rekordtemperaturen',de,Hazard,#E74C3C,#ff3300,1,0.1364978057553076
'stabile Wetterlage',de,Causes,#F39C12,#b4b02b,1,0.1362892878636893
'Gesundheitsrisiken Hitze',de,Impacts,#9B59B6,#cc99ff,1,0.1361853587238341
'Hitzesommer',de,Hazard,#E74C3C,#ff3300,1,0.1320371540710649
'Frühwarnsystem Hitze',de,Adaptation,#27AE60,#fa2311,1,0.131581648953227
'Emissionsreduktion',de,Mitigation,#2980B9,#00cc66,1,0.131118031340447
'Wärmeperiode',de,Hazard,#E74C3C,#ff3300,1,0.1306348439032233
'Hitzeperiode',de,Hazard,#E74C3C,#ff3300,1,0.1296348541914451
'Sommerhitze',de,Hazard,#E74C3C,#ff3300,2,0.1267389945263967
'Hitzewelle Klimawandel',de,Causes,#F39C12,#c4b03b,1,0.12442821453169
'Fassadenbegrünung',de,Adaptation,#27AE60,#fa2311,1,0.1224730806034282
'Bodenversiegelung',de,Causes,#F39C12,#b4b02b,1,0.1221510301064297
'städtische Klimaanpassung',de,Adaptation,#27AE60,#fa2311,1,0.1218992570177702
'Klimaneutralität',de,Mitigation,#2980B9,#00cc66,3,0.1205179622107614
'dehydrieren',de,Impacts,#9B59B6,#cc99ff,1,0.117035840969447
'Übersterblichkeit',de,Impacts,#9B59B6,#cc99ff,3,0.1144727663346369
'nachhaltige Stadtplanung',de,Mitigation,#2980B9,#00cc66,1,0.110271453354875
'Wüstentage',de,Hazard,#E74C3C,#fa2311,1,0.1039010462994255
'grüne Infrastruktur',de,Adaptation,#27AE60,#fa2311,3,0.1005877206887679
'fehlende Vegetation',de,Causes,#F39C12,#b4b02b,1,0.1003222417426272
'Notfallplan Hitze',de,Adaptation,#27AE60,#fa2311,1,0.0993533652993492
'Sonnenstich',de,Impacts,#9B59B6,#cc99ff,1,0.0961385608459607
'Tropentage',de,Hazard,#E74C3C,#ff3300,1,0.0948123648069466
'städtische Wärmeinsel',de,Causes,#F39C12,#b4b02b,1,0.083671621844807
'Temperatur Trinken',de,Mitigation,#2980B9,#00cc66,1,0.0752282798633823
'urbaner Hitzeinseleffekt',de,Causes,#F39C12,#b4b02b,1,0.0711208785680859
'Stadtbegrünung',de,Adaptation,#27AE60,#fa2311,1,0.0702323401124156
'Hochsommer',de,Hazard,#E74C3C,#ff3300,3,0.0693398656622068
'UHI',de,Causes,#F39C12,#b4b02b,1,0.0640087907112773
'Temperaturen Gesundheitsrisiken',de,Impacts,#9B59B6,#cc99ff,1,0.062895948076678
'fehlende Luftzirkulation',de,Causes,#F39C12,#b4b02b,1,0.0605603373701206
'Ernteausfälle Hitze',de,Impacts,#9B59B6,#cc99ff,1,0.0580991134026963
'CO₂-Anstieg',de,Causes,#F39C12,#b4b02b,3,0.0479874673596589
'Verkehrswende',de,Mitigation,#2980B9,#00cc66,2,0.0476790577298863
'Hitze Blow-ups',de,Impacts,#9B59B6,#cc99ff,1,0.0435519678897997
'Omegawetterlage',de,Causes,#F39C12,#c4b03b,1,0.040247078659674
'Treibhausgasreduktion',de,Mitigation,#2980B9,#00cc66,1,0.0385231915148213
'CO₂-Neutralität',de,Mitigation,#2980B9,#00cc66,2,0.0362376439751429
'Sonnenintensität',de,Hazard,#E74C3C,#ff3300,1,0.0340359849742807
'Anpassungsstrategie Hitze',de,Adaptation,#27AE60,#fa2311,1,0.0310627043458633
